"key";"description";"en";"de"
"Astro Dawn Description";"description of astro dawn";"**Astronomical dawn** — the Sun's center rises to **−18°** altitude; start of *astronomical twilight*.\n\n- Only the brightest stars remain visible; the sky slowly brightens\n- Exact timing depends on date and latitude\n\nMore: [Wikipedia – Twilight](https://en.wikipedia.org/wiki/Twilight)";"**Astronomische Morgendämmerung** — wenn das Sonnenzentrum **−18°** erreicht; Beginn der *astronomischen Dämmerung*.\n\n- Nur die hellsten Sterne sind noch sichtbar; der Himmel hellt langsam auf\n- Zeitpunkt hängt von Datum und geographischer Breite ab\n\nMehr: [Wikipedia – Dämmerung](https://de.wikipedia.org/wiki/D%C3%A4mmerung)"
"Nautical Dawn Description";"description of nautical dawn";"**Nautical dawn** — the Sun's center rises to **−12°** altitude; start of *nautical twilight*.\n\n- The sea horizon becomes distinguishable; rough navigation by horizon is possible\n\nMore: [Wikipedia – Twilight](https://en.wikipedia.org/wiki/Twilight)";"**Nautische Morgendämmerung** — wenn das Sonnenzentrum **−12°** erreicht; Beginn der *nautischen Dämmerung*.\n\n- Der Meeres­horizont wird erkennbar; grobe Navigation am Horizont ist möglich\n\nMehr: [Wikipedia – Dämmerung](https://de.wikipedia.org/wiki/D%C3%A4mmerung)"
"Civil Dawn Description";"description of civil dawn";"**Civil dawn** — the Sun's center rises to **−6°** altitude; start of *civil twilight*.\n\n- Enough natural light for many outdoor activities without additional lighting\n\nMore: [Wikipedia – Twilight](https://en.wikipedia.org/wiki/Twilight)";"**Bürgerliche Morgendämmerung** — wenn das Sonnenzentrum **−6°** erreicht; Beginn der *bürgerlichen Dämmerung*.\n\n- Meist ausreichend natürliches Licht für viele Tätigkeiten im Freien\n\nMehr: [Wikipedia – Dämmerung](https://de.wikipedia.org/wiki/D%C3%A4mmerung)"
"Sunrise Description";"description of sunrise";"**Sunrise** — the Sun's upper limb appears at the horizon.\n\n- Standard calculation uses the Sun's center at **−0.833°** (refraction + solar radius)\n- Actual time depends on observer elevation and atmospheric conditions\n\nMore: [Wikipedia – Sunrise](https://en.wikipedia.org/wiki/Sunrise)";"**Sonnenaufgang** — der obere Sonnenrand erscheint am Horizont.\n\n- Übliche Berechnung: Sonnenzentrum bei **−0,833°** (Refraktion + Sonnenradius)\n- Reale Zeit hängt von Beobachterhöhe und Atmosphäre ab\n\nMehr: [Wikipedia – Sonnenaufgang](https://de.wikipedia.org/wiki/Sonnenaufgang)"
"Solar Noon Description";"description of solar noon";"**Solar noon** — the Sun transits the local meridian and reaches its highest altitude for the day.\n\n- Not necessarily at 12:00 clock time\n- Depends on longitude and the **equation of time**\n\nMore: [Wikipedia – Solar noon](https://en.wikipedia.org/wiki/Solar_noon)";"**Sonnenhöchststand (Solar noon)** — Meridiandurchgang der Sonne; größte Höhe des Tages.\n\n- Liegt nicht zwingend bei 12:00 Uhr\n- Abhängig von Länge und der **Zeitgleichung**\n\nMehr: [Wikipedia – Sonnenhöchststand](https://de.wikipedia.org/wiki/Sonnenh%C3%B6chststand)"
"Sunset Description";"description of sunset";"**Sunset** — the Sun's upper limb disappears below the horizon.\n\n- Standard calculation uses the Sun's center at **−0.833°** (refraction + solar radius)\n\nMore: [Wikipedia – Sunset](https://en.wikipedia.org/wiki/Sunset)";"**Sonnenuntergang** — der obere Sonnenrand verschwindet unter dem Horizont.\n\n- Übliche Berechnung: Sonnenzentrum bei **−0,833°** (Refraktion + Sonnenradius)\n\nMehr: [Wikipedia – Sonnenuntergang](https://de.wikipedia.org/wiki/Sonnenuntergang)"
"Civil Dusk Description";"description of civil dusk";"**Civil dusk** — the Sun's center descends to **−6°**; end of *civil twilight*.\n\n- Below this, artificial lighting is generally required\n\nMore: [Wikipedia – Twilight](https://en.wikipedia.org/wiki/Twilight)";"**Bürgerliche Abenddämmerung** — Sonnenzentrum bei **−6°**; Ende der *bürgerlichen Dämmerung*.\n\n- Darunter ist meist künstliche Beleuchtung nötig\n\nMehr: [Wikipedia – Dämmerung](https://de.wikipedia.org/wiki/D%C3%A4mmerung)"
"Nautical Dusk Description";"description of nautical dusk";"**Nautical dusk** — the Sun's center descends to **−12°**; end of *nautical twilight*.\n\n- The sea horizon is no longer distinguishable\n\nMore: [Wikipedia – Twilight](https://en.wikipedia.org/wiki/Twilight)";"**Nautische Abenddämmerung** — Sonnenzentrum bei **−12°**; Ende der *nautischen Dämmerung*.\n\n- Der Meeres­horizont ist nicht mehr erkennbar\n\nMehr: [Wikipedia – Dämmerung](https://de.wikipedia.org/wiki/D%C3%A4mmerung)"
"Astro Dusk Description";"description of astro dusk";"**Astronomical dusk** — the Sun's center descends to **−18°**; end of *astronomical twilight*.\n\n- After this, the night sky is effectively dark for observations\n\nMore: [Wikipedia – Twilight](https://en.wikipedia.org/wiki/Twilight)";"**Astronomische Abenddämmerung** — Sonnenzentrum bei **−18°**; Ende der *astronomischen Dämmerung*.\n\n- Danach gilt der Nachthimmel als hinreichend dunkel für Beobachtungen\n\nMehr: [Wikipedia – Dämmerung](https://de.wikipedia.org/wiki/D%C3%A4mmerung)"
"Golden Hour Description";"description of golden hour";"**Golden hour** — period shortly after sunrise and before sunset when the Sun is low and light is warm and soft.\n\n- Typically around **0–6°** altitude; exact definitions vary by source and conditions\n- Warm tones, long shadows, low contrast; favored for photography\n\nMore: [Wikipedia – Golden hour](https://en.wikipedia.org/wiki/Golden_hour_(photography))";"**Goldene Stunde** — Phase kurz nach Sonnenaufgang und vor Sonnenuntergang mit niedrigem Sonnenstand und warmem, weichem Licht.\n\n- Häufig näherungsweise bei **0–6°** Sonnenhöhe; genaue Definitionen variieren\n- Warme Töne, lange Schatten, geringer Kontrast; beliebt in der Fotografie\n\nMehr: [Wikipedia – Goldene Stunde](https://de.wikipedia.org/wiki/Goldene_Stunde)"
"Blue Hour Description";"description of blue hour";"**Blue hour** — cool, blue ambient light **before sunrise** and **after sunset** when the Sun is below the horizon.\n\n- Often approximated when the Sun is **4–8° below** the horizon\n- Deep blue hues; city lights and sky balance well — ideal for urban scenes\n\nMore: [Wikipedia – Blue hour](https://en.wikipedia.org/wiki/Blue_hour)";"**Blaue Stunde** — kühles, blaues Umgebungslicht **vor Sonnenaufgang** und **nach Sonnenuntergang**, wenn die Sonne unter dem Horizont steht.\n\n- Häufig näherungsweise bei **4–8°** unter dem Horizont\n- Satt blaue Töne; Stadtlicht und Himmel harmonieren gut — ideal für Stadtszenen\n\nMehr: [Wikipedia – Blaue Stunde](https://de.wikipedia.org/wiki/Blaue_Stunde)"
"Day Length Description";"description of day length";"**Day length** — time from **sunrise** to **sunset** (upper limb crossing the horizon).\n\n- Does not include twilight periods\n- Varies with latitude and date; affected by refraction and solar radius\n\nMore: [Wikipedia – Day length](https://en.wikipedia.org/wiki/Day_length)";"**Tageslänge** — Zeit von **Sonnenaufgang** bis **Sonnenuntergang** (oberer Sonnenrand am Horizont).\n\n- Dämmerungszeiten sind nicht enthalten\n- Abhängig von Breite und Datum; Refraktion und Sonnenradius beeinflussen die Zeiten\n\nMehr: [Wikipedia – Tageslänge](https://de.wikipedia.org/wiki/Tagesl%C3%A4nge)"
"Altitude Now Description";"description of current altitude";"**Altitude** — angle of the Sun above the horizon (negative values are below it).\n\n- Range: 0° (horizon) … +90° (zenith)\n- With **azimuth** it forms horizontal coordinates\n\nMore: [Horizontal coordinate system](https://en.wikipedia.org/wiki/Horizontal_coordinate_system)";"**Höhe (Elevation)** — Winkel der Sonne über dem Horizont (negative Werte darunter).\n\n- Bereich: 0° (Horizont) … +90° (Zenit)\n- Zusammen mit dem **Azimut** ergibt sich die horizontale Position\n\nMehr: [Horizontalkoordinaten](https://de.wikipedia.org/wiki/Horizontalkoordinaten)"
"Azimuth Now Description";"description of current azimuth";"**Azimuth** — compass bearing of the Sun measured from **north** clockwise along the horizon.\n\n- 0° = North, 90° = East, 180° = South, 270° = West\n\nMore: [Wikipedia – Azimuth](https://en.wikipedia.org/wiki/Azimuth)";"**Azimut** — Peilung der Sonne entlang des Horizonts, von **Nord** im Uhrzeigersinn gemessen.\n\n- 0° = Nord, 90° = Ost, 180° = Süd, 270° = West\n\nMehr: [Wikipedia – Azimut](https://de.wikipedia.org/wiki/Azimut)"
