"key";"description";"en";"de"
"help albedo";"Albedo of the ground surface in solar plant contexts, typically between 0.1 (dark surfaces like asphalt) and 0.4 (light surfaces like sand).";"**Albedo** (ground reflectance, 0..1). Typical range: 0.1 (dark) to 0.4 (light). Affects reflected irradiance and is important for bifacial PV and concentrating solar power (CSP) models. Use site-specific measurements when available.";"**Albedo** (Bodenreflexion, 0..1). Typischer Bereich: 0,1 (dunkel) bis 0,4 (hell). Beeinflusst die reflektierte Einstrahlung und ist wichtig für bifaciale PV-Module und konzentrierende Solarsysteme. Wenn möglich, vor Ort messen."
"help sky view factor";"Sky View Factor (SVF 0..1) for solar plants, describing the portion of the sky visible from a location, impacting solar radiation.";"**Sky View Factor (SVF)** (0..1) — fraction of the sky dome visible from a point. Lower SVF means more obstructions (horizon obstacles, nearby structures or terrain), reducing diffuse sky irradiance and increasing shading effects. Useful for site layout and shading analysis.";"**Sky View Factor (SVF)** (0..1) — Anteil des sichtbaren Himmels von einem Punkt aus. Ein niedriger SVF steht für mehr Hindernisse (Horizont, Gebäude, Gelände) und reduziert diffuse Himmelsstrahlung sowie erhöht Abschattung. Wichtig für Standort- und Verschattungsanalysen."
"help loss factor";"Overall loss factor (0:=100% loss, 1:=no loss) for solar plant systems, accounting for losses like wiring or inverters, typically around 0.86 (14% loss).";"**Overall loss factor** (0..1) — multiplicative factor for system-level losses (1 = no loss, 0 = total loss). Includes soiling, shading, inverter and transformer inefficiencies, wiring, mismatch, availability and thermal losses. Typical design value ~0.86 (≈14% total losses), but use measured losses when available.";"**Gesamtverlustfaktor** (0..1) — multiplikativer Faktor für Systemverluste (1 = kein Verlust, 0 = vollständiger Verlust). Beinhaltet Verschmutzung, Verschattung, Wechselrichter-/Transformatorverluste, Verkabelung, Mismatch, Verfügbarkeit und thermische Effekte. Typischer Entwurfswert ≈0,86 (≈14 % Verluste); idealerweise messbasierte Werte verwenden."
"help linke tl";"Linke turbidity factor meaning and data source."; "**Linke turbidity factor (TL)** — dimensionless measure of **atmospheric turbidity** (clarity). Typical range: ~1 (very clear) to >5 (very hazy). Higher TL means **less direct & diffuse irradiance** at the surface. Values are taken from a **global 1° grid** based on pvlib turbidity data and used in clear-sky models. Reference: https://pvlib-python.readthedocs.io/en/stable/user_guide/modeling_topics/clearsky.html#turbidity-data"; "**Linke-Trübung (TL)** — dimensionsloser Wert für die **atmosphärische Trübung**. Typischer Bereich: ≈1 (sehr klar) bis >5 (stark trüb). Höhere TL-Werte bedeuten **geringere direkte und diffuse Einstrahlung** am Boden. Die Werte stammen aus einem **globalen 1°-Raster** (pvlib-Turbidity-Daten) und werden in Clear-Sky-Modellen verwendet. Referenz: https://pvlib-python.readthedocs.io/en/stable/user_guide/modeling_topics/clearsky.html#turbidity-data"
"help clear sky factor";"Clear-sky factor meaning and data source."; "**Clear-sky factor / clear-sky index** (0..1) — ratio of **actual irradiance to modeled clear-sky irradiance**. Values close to 1 mean clear conditions; lower values indicate **cloud cover or strong attenuation**. Site-specific data are derived from **PVGIS (JRC)** services and averaged over up to **20 years**. More info: https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis_en?etrans=de&etransnolive=1"; "**Clear-Sky-Faktor / Clear-Sky-Index** (0..1) — Verhältnis der **tatsächlichen zur modellierten Klar-Himmel-Einstrahlung**. Werte nahe 1 stehen für klare Bedingungen; niedrigere Werte zeigen **Wolken oder starke Dämpfung**. Standortdaten stammen aus **PVGIS (JRC)** und werden über bis zu **20 Jahre** gemittelt. Mehr Infos: https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis_en?etrans=de&etransnolive=1"
"help azimuth angle";"Azimuth angle (0°=North, 90°=East, 180°=South, 270°=West) for solar plant components, defining horizontal orientation relative to true north.";"**Azimuth angle** (0°=North, 90°=East, 180°=South, 270°=West) — horizontal orientation of solar panels or components relative to true north. Affects incident solar radiation and system performance. South-facing (180°) is optimal in northern hemisphere; adjust based on site layout and shading.";"**Azimutwinkel** (0°=Norden, 90°=Osten, 180°=Süden, 270°=Westen) — horizontale Ausrichtung von Solarmodulen oder Komponenten relativ zum geografischen Norden. Beeinflusst die einfallende Sonnenstrahlung und die Systemleistung. Südausrichtung (180°) ist in der nördlichen Hemisphäre optimal; Anpassung je nach Standort und Verschattung."
"help tilt angle";"Tilt angle (0°=horizontal, 90°=vertical) for solar plant components, indicating the angle of inclination from the horizontal plane.";"**Tilt angle** (0°=horizontal, 90°=vertical) — angle of inclination of solar panels or components from the horizontal plane. Affects incident solar radiation and system performance. Optimal tilt depends on latitude and seasonal adjustments; commonly set close to latitude for fixed systems.";"**Neigungswinkel** (0°=horizontal, 90°=vertikal) — Neigungswinkel von Solarmodulen oder Komponenten zur Horizontalebene. Beeinflusst die einfallende Sonnenstrahlung und die Systemleistung. Optimaler Neigungswinkel hängt von der geografischen Breite und saisonalen Anpassungen ab; häufig nahe der geografischen Breite für feste Systeme eingestellt."
"help plant power";"Rated power capacity (kWp) of the solar plant under standard test conditions (STC).";"**Rated power capacity** (kWp) — maximum power output of the solar plant under standard test conditions (STC: 1000 W/m² irradiance, 25°C cell temperature, AM1.5 spectrum). Used for system sizing, performance modeling, and financial analysis.";"**Nennleistungskapazität** (kWp) — maximale Leistungsausgabe der Solaranlage unter Standard-Testbedingungen (STC: 1000 W/m² Einstrahlung, 25°C Zelltemperatur, AM1.5 Spektrum). Wird für Systemdimensionierung, Leistungsmodellierung und Finanzanalyse verwendet."
"help locations overview";"General help for managing and organizing locations.";"**Overview:**\nLocations define the geographical basis for all solar system calculations.\nEach location includes **coordinates**, a **name**, and optional **notes**.\nSolar plants reference locations to obtain **position** and **climate data**.\n\nYou can:\n- Add new locations with the **➕ button**\n- Rename or delete them via the context menu or **double-tap editing**\n- Sort the list *(by name or last update)*\n- Filter by text\n- Reorder entries via **drag & drop**\n\nIn the **free version**, up to **2 locations** can be created.\nUnlimited entries require the *Unlimited Sites & Systems* upgrade.";"**Übersicht:**\nStandorte bilden die geographische Grundlage für alle Solaranlagen-Berechnungen.\nJeder Standort enthält **Koordinaten**, einen **Namen** und optionale **Notizen**.\nSolaranlagen beziehen von dort ihre **Positions-** und **Klimadaten**.\n\nDu kannst:\n- Neue Standorte über den **➕ Button** hinzufügen\n- Sie über das **Kontextmenü** oder per **Doppeltipp** bearbeiten oder löschen\n- Die Liste nach **Name** oder **letzter Aktualisierung** sortieren\n- Per **Textfilter** einschränken\n- Die Reihenfolge per **Drag & Drop** anpassen\n\nIn der **freien Version** sind maximal **2 Standorte** möglich.\nFür unbegrenzte Einträge wird das *Unlimited Sites & Systems*-Upgrade benötigt."
"help plants overview";"General help for managing, grouping, and understanding solar plant performance.";"**Overview:**\nSolar plants are grouped by **location** and represent individual **PV systems** with their own **orientation**, **tilt**, and **capacity**.\nGrouping multiple plants at one site allows comparison of different directions or configurations under identical environmental conditions.\n\n**Performance Calculation:**\nAnnual energy yield is estimated from location, orientation (tilt & azimuth), system capacity, and local atmospheric conditions such as **albedo**, **turbidity**, **clear-sky factor**, and **shading**.\nThe results provide a simplified **performance expectation** and are visualized in the **plant chart**.\n\n**Interaction:**\n- Add new plants using the **➕ button**\n- Edit, delete, or reorder via **drag & drop** or **context menu**\n- Sort the list *(by name or last update)*\n- Filter by text\n\nIn the **free version**, up to **2 plants** are available.\nUnlimited entries require the *Unlimited Sites & Systems* upgrade.";"**Übersicht:**\nSolaranlagen sind einem **Standort** zugeordnet und repräsentieren einzelne **PV-Systeme** mit eigener **Ausrichtung**, **Neigung** und **Leistung**.\nMehrere Anlagen an einem Standort zu gruppieren ermöglicht **Vergleiche verschiedener Ausrichtungen** unter gleichen Bedingungen.\n\n**Leistungsberechnung:**\nDer Jahresertrag wird aus **Standort**, **Ausrichtung (Neigung & Azimut)**, **Anlagenleistung** und **lokalen atmosphärischen Bedingungen** (z. B. **Albedo**, **Trübung**, **Clear-Sky-Faktor**, **Verschattung**) abgeschätzt.\nDie Werte liefern eine vereinfachte **Ertragserwartung** und werden in der **Anlagengrafik** visualisiert.\n\n**Bedienung:**\n- Neue Anlagen über den **➕ Button** hinzufügen\n- Bearbeiten, Löschen oder Umordnen per **Drag & Drop** oder **Kontextmenü**\n- Liste nach **Name** oder **letzter Aktualisierung** sortieren\n- Nach Text filtern\n\nIn der **freien Version** sind maximal **2 Anlagen** verfügbar.\nFür unbegrenzte Einträge ist das *Unlimited Sites & Systems*-Upgrade erforderlich."
